camping_id,nama_camping,deskripsi,lokasi,jalan,kecamatan,kota,provinsi,jam buka,harga,jumlah_review,rating,latitude,longitude
C0001,Buper Ipukan,"Buper Ipukan adalah salah satu tempat camping terbaik di Kuningan yang cocok sekali untuk aktivitas camping bersama keluarga. Daya tarik dari Buper Ipukan adalah view alamnya yang memesona di area pegunungan dan hutan pinus. Udaranya sangat sejuk dan segar. Selain itu, area campingnya juga dilengkapi dengan lampu hias dan ornamen gantung yang warnanya sangat eye-catching.","Jl. Palutungan, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Palutungan,Cigugur,Kuningan,Jawa Barat,24 jam,Rp 20.000/orang,"1,356",4.5,-6.938423687,108.4328125
C0002,Buper Huludayeh Trijaya,"Hamparan hutan pinus nan asri menjadi daya tarik utama dari Bumi Perkemahan Huludayeuh Trijaya. Lokasinya yang berada di kaki Gunung Ciremai membuat udara di kawasan ini sangat sejuk. Suasananya juga tenang. Sesekali hanya terdengar suara embusan angin, kicau burung, dan suara serangga hutan.","Jl. Trijaya, Kertajati, Kabupaten Kuningan, Jawa Barat ",Jl. Trijaya,Mandirancan,Kuningan,Jawa Barat,07.00 - 17.00,Rp 20.000/orang,42,4.7,-6.844442917,108.4623099
C0003,Buper Balong Dalem,"Buper Balong Dalem merupakan bumi perkemahan yang asri dan udaranya sejuk. Jadi, motor maupun mobil mudah mengakses tempat camping ini. Berbicara tentang kenyamanan, Buper Balong dalem memiliki camping ground yang cukup nyaman. Kawasan camping ground bisa muat untuk 100an tenda. Dan di sekeliling camping ground telah di bangun fasilitas penunjang wisata yang lengkap.","Jl. Babakan Mulya, Babakanmulya, Kec. Jalaksana, Kabupaten Kuningan, Jawa Barat ",Jl. Babakan,Jalaksana,Kuningan,Jawa Barat,08.00 - 18.00,Rp 20.000/orang,756,4.3,-6.919138134,108.4766778
C0004,Bumi Perkemahan Palutungan,Bumi Perkemahan Palutungan merupakan tempat camping yang cukup populer. Bumi Perkemahan ini sudah lebih dulu ada dibandingkan beberapa tempat camping lainnya di kawasan Palutungan Kuningan. Area campingnya sangat luas dan mampu menampung pengunjung yang datang dengan rombongan.,"Jl. Cisantana, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Cisantana,Cigugur,Kuningan,Jawa Barat,24 jam,Rp 15.000/orang,471,4.4,-6.946186791,108.433004
C0005,Bumi Perkemahan Bukit Lambosir,"Bumi Perkemahan Bukit Lambosir lokasinya berada di lereng Gunung Ciremai. Perlu ekstra fokus dan kendaraan dengan kondisi yang prima untuk menuju ke Bumi Perkemahan Bukit Lambosir. Selama kurang lebih 15-20 menit perjalanan, kamu harus melewati jalan cor yang berkelok dan menanjak. Di beberapa titik, ruas jalannya juga ada yang masih sedikit berbatu.","Jl. Setianegara, Cilimus, Randobawagirang, Mandirancan, Kabupaten Kuningan, Jawa Barat ",Jl. Setianegara,Mandirancan,Kuningan,Jawa Barat,24 jam,Rp 15.000/orang,122,4.4,-6.86284251,108.4534545
C0006,Wisata Alam Tenjo Laut,"Wisata alam Tenjo laut merupakan tempat wisata buatan yang menyuguhkan keindahan alam menawan. Kamu bisa menikmati pengalaman camping maupun glamping yang menyenangkan bersama teman dan keluarga. Berada di ketinggian 1000 mdpl, kamu akan disuguhkan pemandangan lembah, Kota Kuningan, Gunung Slamet, dan Waduk Darma di kejauhan. Ditambah lagi, udara di lokasi camping sangat segar dan sejuk.","Jl. Taman Nasional Gunung Ciremai Mandirancan, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Taman Nasi,Cigugur,Kuningan,Jawa Barat,08.00 - 18.00,Rp 20.000/orang,365,4.5,-6.950990293,108.4317592
C0007,Talaga Surian Camp Park,"Talaga Surian Camp Park menawarkan sensasi berkemah di tengah sejuknya hutan pinus. Suguhan pemandangan alam khas pegunungan juga akan sangat memanjakan mata. Pengelola menyediakan beberapa spot menarik untuk berfoto dengan latar pemandangan, misalnya seperti di ayunan gantung dan rumah pohon.","Jl. Puncak, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Puncak,Cigugur,Kuningan,Jawa Barat,24 jam,Rp 15.000/orang,369,4.6,-6.953076977,108.4285959
C0008,Bukit 1001 Tangga dan Bumi Perkemahan Lembah Manguntapa,"Masih di sekitar kawasan wisata Kecamatan Pesawahan, Kuningan, Camping Ground Bukit 1000 Bintang menawarkan tempat camping yang langsung beratap langit. Artinya, kamu bisa camping sekaligus menikmati gemerlap bintang di malam hari dari camping ground ini.","Jl. Singkup, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat ",Jl. Singkup,Pasawahan,Kuningan,Jawa Barat,24 jam,Rp 10.000/orang,274,4.5,-6.817014039,108.4418921
C0009,Paniis Singkup,Area camping di Bumi Perkemahan Paniis Singkup ini bisa dibilang sebagai tempat berkemah terbesar di Kuningan. Areanya mencakup dua wilayah desa dengan suasana hutan pinus asli serta banyak pemandangan indah yang berbeda dari tempat lain,"Jl. Cirea Pasawahan, Singkup, Kec. Pasawahan, Kabupaten Kuningan",Jl. Cirea Pasawahan,Pasawahan,Kuningan,Jawa Barat,24 jam,Rp 10.000/orang,18,4.3,-6.815387019,108.4445989
C0010,Sukageuri View,"Sukageuri View dikenal karena gardu pandang yang menawarkan view cantik. Dari sana, kamu bisa melihat hamparan perkampungan, sawah, dan perbukitan. Udara yang menerpa pun terasa sejuk.","Jl Setianegara, Cilimus, Randobawagirang, Mandirancan, Kabupaten Kuningan, Jawa Barat ",Jl. Setianegara,Mandirancan,Kuningan,Jawa Barat,"Setiap hari, 07.00 - 17.00 ",Rp 11.000/orang,392,4.6,-6.942805471,108.4422191
