tempat,lokasi,jalan,kecamatan,kota,provinsi,jam buka,harga,latitude,longitude
Buper Ipukan,"Jl. Palutungan, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Palutungan,Cigugur,Kuningan,Jawa Barat,24 jam,Rp 20.000/orang,-6.938423687,108.4328125
Buper Huludayeh Trijaya,"Jl. Trijaya, Kertajati, Kabupaten Kuningan, Jawa Barat ",Jl. Trijaya,Mandirancan,Kuningan,Jawa Barat,07.00 - 17.00 ,Rp 20.000/orang,-6.844442917,108.4623099
Buper Balong Dalem,"Jl. Babakan Mulya, Babakanmulya, Kec. Jalaksana, Kabupaten Kuningan, Jawa Barat ",Jl. Babakan,Jalaksana,Kuningan,Jawa Barat,08.00 - 18.00 ,Rp 20.000/orang,-6.919138134,108.4766778
Bumi Perkemahan Palutungan,"Jl. Cisantana, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Cisantana,Cigugur,Kuningan,Jawa Barat,24 jam,Rp 15.000/orang,-6.946186791,108.433004
Bumi Perkemahan Bukit Lambosir,"Jl. Setianegara, Cilimus, Randobawagirang, Mandirancan, Kabupaten Kuningan, Jawa Barat ",Jl. Setianegara,Mandirancan,Kuningan,Jawa Barat,24 jam,Rp 15.000/orang,-6.86284251,108.4534545
Wisata Alam Tenjo Laut,"Jl. Taman Nasional Gunung Ciremai Mandirancan, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Taman Nasi,Cigugur,Kuningan,Jawa Barat,08.00 - 18.00 ,Rp 20.000/orang,-6.950990293,108.4317592
Talaga Surian Camp Park,"Jl. Puncak, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Puncak,Cigugur,Kuningan,Jawa Barat,24 jam,Rp 15.000/orang,-6.953076977,108.4285959
Bukit 1001 Tangga dan Bumi Perkemahan Lembah Manguntapa,"Jl. Singkup, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat ",Jl. Singkup,Pasawahan,Kuningan,Jawa Barat,24 jam,Rp 10.000/orang,-6.817014039,108.4418921
Bukit Lambosir,"Jl. Palutungan, Cisantana, Kec. Cigugur, Kabupaten Kuningan, Jawa Barat ",Jl. Palutungan,Cigugur,Kuningan,Jawa Barat,"Setiap hari, 08.00 - 21.00",Rp 15.000/orang,-6.863132375,108.4543852
Sukageuri View,"Jl Setianegara, Cilimus, Randobawagirang, Mandirancan, Kabupaten Kuningan, Jawa Barat ",Jl. Setianegara,Mandirancan,Kuningan,Jawa Barat,"Setiap hari, 07.00 - 17.00 ",Rp 11.000/orang,-6.942805471,108.4422191
Camping Ground Bukit 1000 Bintang,"Jl. Padabeunghar, Kec. Pasawahan, Kabupaten Kuningan, Jawa Barat ",Jl. Padabeunghar,Pasawahan,Kuningan,Jawa Barat,24 jam,Rp 20.000/orang,-6.837431258,108.4106318
Ranca Upas Camping Ground,"Jl. Raya Ciwidey Patengan, Patengan, Kec. Rancabali, Bandung, Jawa Barat",Jl. Raya Ciwidey - Patengan,Rancabali,Bandung,Jawa Barat,24 jam,Rp 25.000/orang,-7.14104,107.3957
