tempat,latitude,longitude
Buper Ipukan,-6.938423687,108.4328125
Buper Huludayeh Trijaya,-6.844442917,108.4623099
Buper Balong Dalem,-6.919138134,108.4766778
Bumi Perkemahan Palutungan,-6.946186791,108.433004
Bumi Perkemahan Bukit Lambosir,-6.86284251,108.4534545
Wisata Alam Tenjo Laut,-6.950990293,108.4317592
Talaga Surian Camp Park,-6.953076977,108.4285959
Bukit 1001 Tangga dan Bumi Perkemahan Lembah Manguntapa,-6.817014039,108.4418921
Paniis Singkup,-6.815387019,108.4445989
Sukageuri View,-6.942805471,108.4422191
Camping Ground Bukit 1000 Bintang,-6.837431258,108.4106318
Ranca Upas Camping Ground,-7.14104,107.3957
Taman Langit Pangalengan,-7.2312,107.5266
Gunung Putri Lembang,-6.79785,107.634
Bukit Moko,-6.84201,107.6768
Pineus Tilu CampGround,-7.18176,107.545
Wisata Batu Kuda,-6.89294,107.7453
Green Grass Cikole,-6.78379,107.6483
Cantigi Camp,-6.91492,107.7501
Pine Forest Camp,-6.81524,107.694
Terminal Wisata Grafika Cikole(TWGC),-6.78498,107.6516
Bumi Perkemahan Ranca Cangkuang PPTK Gambung,-7.13267,107.505
Punceling Pas Camping Ground & Hot Spring,-7.14139,107.4145
Bale Bambu Adventure Resort,-7.04943,107.4989
Hejo Forest,-7.14294,107.3918
Cozyland Camping Ground,-6.78152,107.6442
Orchid Forest Cikole,-6.78022,107.6375
Jungle Milk Jayagiri,-6.77653,107.6247
Cikole Camp Park,-6.78184,107.6499
Sunrise Point CUKUL,-7.23347,107.5344
Situ Cileunca,-7.19483,107.5459
Hutan Pinus Rahong,-7.18047,107.5476
Cileunca Lakeside,-7.19693,107.5461
Artapela Hill,-7.17345,107.6544
Datar Pinus Camp,-7.18518,107.5498
Citere Camping Ground (Tms Production),-7.19442,107.5448
Puncak Guha Bungbulang,-7.536107416,107.4973729
Karacak Valley,-7.269138927,107.9514195
Papandayan Camping Ground,-7.302151761,107.7583159
Pondok Saladah,-7.315313801,107.7231316
Cilopang Adventure Camp,-7.183197377,107.8696967
Camping Ground  Situ Cibeureum,-7.161227341,107.8077897
Hutan Mati Gunung Papandayan,-7.320060917,107.7255017
Dano Cilopang Garut,-7.18326593,107.8704627
Buffalo Hill,-7.2579581,107.7480416
Campgrounds Kiara Payung,-6.896806983,107.7642252
Nangorak Camp,-6.912188467,107.9155276
Baru Beureum (Camp & Track Mt. Manglayang),-6.879857552,107.7573859
Camping Ground Samalengoh Camp,-6.81067083,107.8857029
Bumi Perkemahan Mandalawangi,-6.736805163,107.0036043
Gunung Gede Pangrango,-6.726838353,107.0174592
Bumi Perkemahan Bukit Golf Cibodas,-6.739979816,107.0014427
Lembah Pasir Sumbul,-6.712737756,106.9938655
Smiling Cinangka Camping Ground,-7.149777651,107.074854
Puncak Bangku Ciamis,-7.263118196,108.2728708
Pinus Camping Ground Ciamis,-7.185466642,108.2214558
Camp Puncak Jamiaki,-7.176606621,108.2164196
Puncak Puspa Gunung Syawal,-7.231063052,108.3105417
Buper Awilega,-7.218528002,108.4024024
Bukit Move On,-7.258402136,108.2722981
